NAME OF THE SCHOLARSHIPS,ORGANISATION ,ELIGIBILITY,AMOUNT,LINKS,TYPES,FIELD OF STUDY,EXAM,APPLICATION FEES,,
UCO (unified cyber olympiad exams),unified cyber olympiad,class 2 to 10,"cash prize of 2,00,000",https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,good perfomamce in UCO examination,NA ,National,
Zonal informatics olympiad,zonal informatics olympiad,class 1 to 12,invited to participate in international olymiads,https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,good performance in zonal informatics olympiad,NA ,National,
National Interactive Maths olympiad,National interactive maths olympiad,class 1 to 12,50000( international toppers) ; 5000(national toppers),https://school.careers360.com/articles/scholarships-in-india,Scholarship,below graduate,good performance in national interactive maths olympiad,NA ,National,
JK Lakshmipat university scholarships for meritious students,JK lakshmipat university,"students wanting to pursue MBA,BBA+MBA can apply",50% of tution fee,https://www.indcareer.com/scholarships/jk-lakshmipat-university-scholarships/,Scholarship,Graduate,9.5% cgpa in first year for 75% waiver in fees,NA ,National,
ONGC scholarships,ONGC corporation,Availabe to meritious students i beloning to SC/ST in deheradhun wanting to pursue professional courses,"Rs. 48,000",https://www.indcareer.com/scholarships/ongc-scholarships-sc-st-students/,Scholarship,Graduate,Application Process ,NA ,National,
Charpak Exchange Scholarship program,Charpak exchange,available to indian students who want to take a semester abroad in foreign university,700 euros monthly,https://www.indcareer.com/scholarships/charpak-exchange-scholarship-program/,Scholarship,Graduate,Application Process ,NA ,National,
JN tata endowment scholarship,Tata,"Indian students who have completed their graduation, or are in the final year of any graduation programme at a recognised institution in India can apply for this scholarship. Applicants must have scored minimum 60% marks in their last academic examinations",upto 10 Lakh,https://www.indcareer.com/scholarships/the-j-n-tata-endowment-loan-scholarship/,Scholarship,Graduate,Application Process ,NA ,National,
Merit Cum Means Based scholarship,Ministry of Minority affairs,"Students who get admission to a college to pursue technical/professional courses, on the basis of a competitive examination will be eligible for the scholarship. � Scholarship will be awarded to the students who have secured not less than 50% marks or equivalent grade in the previous final examination and the annual income of whose parents/guardians from all sources does not exceed Rs.2.50 lakh.","Rs. 21,000",https://www.indcareer.com/scholarships/matric-cum-means-based-scholarship-for-meritorious-students/,Scholarship,Graduate,Application Process ,NA ,National,
Bharti Infratel scholarship program,Shishu Sarothi,"Class 12th/Higher Secondary,Pursuing higher education, i.e. Graduation/Post-Graduation/ Professional,Benchmark Disability, i.e 40% and above as per disability certificate",NA,https://www.indcareer.com/scholarships/bharti-infratel-scholarship-program/,Scholarship,Graduate,Application Process ,NA ,National,
Prematric scholarship for students with disabilities,"Department of Empowerment of Persons with Disability, Government of India","They must be pursuing classes�9 and 10�from a well-known school.,They must be a regular student in the class.�,A candidate must have a proper disability certificate with at least�40%.,The family's annual income should not exceed�INR 2,50,000�from all the sources",Rs. 800- 1000 per month,https://www.getmyuni.com/scholarships/pre-matric-scholarship-for-students-with-disabilities,Scholarship,below graduate,Application Process ,NA ,National,
Post-matric scholarship for students with disabilities,"Department of Empowerment of Persons with Disability, Government of India","The Scholarship Scheme is open to Indian students only.,Students with more than 40 percent disability are eligible to apply.,The overall family annual income should not exceed INR 2, 50,000 (Two lakh fifty thousand).,The applicant must be studying in class 11 upto post-graduate or diploma.",Rs. 900 to 1600 per month + disability allowances,https://www.getmyuni.com/scholarships/post-matric-scholarship-for-students-with-disabilities,Scholarship,Graduate,Application Process ,,National,
National means cum merit scholarship,deparment of school education and literacy,"Students whose parental income from all sources is not more than Rs. 3,50,000/- per annum are eligible to avail the scholarship. The students must have minimum of 55 % marks or equivalent grade in Class VII examination for appearing in selection test for award of scholarship (relaxable by 5% for SC/ST students). The students should be studying as regular student in a Government, Government-aided and local body school. Students of NVS, KVS and residential schools are not entitled for the scholarship. There is reservation as per State Government norms.","Rs. 12,000 per annum",https://dsel.education.gov.in/nmmss,Scholarship,below graduate,Application Process ,NA ,National,
Central Sector Scholarship,Deparment of higher education of MHRD,"Pursuing regular UG/PG course,Annual family income less than INR 8 Lakh","upto Rs. 20,000 per annum",https://www.buddy4study.com/article/central-sector-scholarship,Scholarship,Graduate,Application Process ,NA ,National,
Prime Minister scholarship,"Kendriya Sainik Board Secretariat, Department of Ex-Servicemen Welfare, Ministry of Defence, Government of India","For this scholarship, students who have taken admission in the first year of all professional courses except the integrated course can apply. For this, the minimum educational qualification is 10 + 2 / Diploma / 60 percent marks or more at the postgraduate level.",Rs. 2500 - 3000 per month,https://www.wbgov.org/prime-minister-scholarship/,Scholarship,Graduate,Application Process ,NA ,National,
Prime Minister�s scholarship for Central armed police forces and Assam rifles,"Ministry of Home Affairs, Government of India","A candidate wishing to apply must be the wards or�widows of CAPFs and AR personnel who died at work.,The wards or widows of retired and serving CAPFs and AR personnel (below officer rank) are also eligible.,It is necessary for the applicants to pass the 10+2/ diploma/ graduation with a minimum of 60 % marks.",Rs. 2000 pm(boys) Rs. 2250pm(girls),https://www.vidhyaa.in/scholarship/prime-ministers-scholarship-scheme-for-central-armed-police-forces-and-assam-rifles,Scholarship,Graduate,Application Process ,NA ,National,
Prime Minister�s Scholarship for RPF/RPSF,"Security Directorate, Ministry of Railways, Government of India","Available especially for wards of government officers. The students who have taken the admission in the year 2017 and 18 eligible for this scheme, Students should get 60% marks in the 12th board examination, This scholarship is available only for to wards in one family",Rs. 2000 pm(boys) Rs. 2250pm(girls),https://scholarshiponline.in/prime-minister-scholarship-for-rsf-rpsf/,Scholarship,Graduate,Application Process ,NA ,National,
National Scholarship for higher education of St students,"Ministry of Tribal Affairs, Government of India","the applicant must have taken admission in the institutions notified and identified by the Ministry of Tribal Affairs.,The annual income of the family should not be more than 6 lakhs.","Full tuition fee with a maximum ceiling of Rs. 2.5 lakh per annum will be covered under the scholarship.,The Government will provide an amount of Rs.3,000 per annum per student for books and stationery.,An amount of Rs. 2,200 per month with a maximum ceiling of Rs. 26,400 per annum will be given as living expenses.,Rs.45,000 will be given as one-time assistance for computers and accessories.",https://scholarshiponline.in/national-fellowship-and-scholarship-for-the-higher-education-of-st-student/,Scholarship,Graduate,Application Process ,NA ,National,
National Felowship for higher education of St students,"Ministry of Tribal Affairs, Government of India","The applicant must have passed the post graduation examination.,The Candidate should get admitted or registered for a regular full-time M.Phil/Ph.D. degree programme in institutions recognized by UGC under Section 2(f) of the UGC Act/ICAR.,It is necessary to Fulfill the prescribed UGC/ICAR norms to qualify for the post.","Rs. 28,000 per month",https://scholarshiponline.in/national-fellowship-and-scholarship-for-the-higher-education-of-st-student/,Fellowship,Phd,Application Process ,NA ,National,
Scholarships for Top Class Education for Students with Disabilities,"Ministry of Social Justice and Empowerment, Government of India","The candidate must be a domicile of India.,50% of the scholarship will be reserved for girls.,The applicant must be pursuing studies at graduate/postgraduate degree/diploma level in notified institutions of excellence in education.,A candidate must have 40% disability and a certificate of that disability too.,The annual income of the family should not be more than 6 lakhs.",Reembursement of tution fees plus upto 2 lakh plus several other additional allowances,https://scholarshiponline.in/scholarship-for-top-class-education-for-students-with-disabilities/,Scholarship,Graduate,Application Process ,NA ,National,
Financial assistance for the education of the words ofBeedi/Cine/IOMC/LSDM workers-pre-matric,"Ministry of Labour and Employment, Government of India","The applicant must be a ward of Beedi, Iron Ore Manganese & Chrome Ore Mines, Limestone and Dolomite Mines, Cine workers.,The workers must be working from at least 6 months.,The candidate has to pass the exam in the first attempt.,The annual income of the family should not be more than 1 lakh.,The applicant must be pursuing any type of technical courses.",Varies from Rs. 2440 to Rs. 15000 depending on the type of the course pursued,https://scholarshiponline.in/financial-assistance-for-the-education-of-the-wards/,Scholarship,,Application Process ,NA ,National,
Prime minister research scholarship,"Ministry of Human Resource Development, Government of India","The applicant should have completed his/her education with passing numbers,Or the applicant should be in the final year of his/her studies,Students who are studying under UG PG course can apply under Prime Minister Research Fellowship,Only Science Students can apply for doctoral programs under this fellowship,The candidate�s CGPA or CPI must have at least eight out of 10 scores.,The students who are doing 5 years UG PG course ,4 years will be counted as qualification,The applicants must be completed or pursuing M.tech/MS",Stipends randing from 70k to 80k Rs. depending on the year ,https://scholarshiponline.in/prime-minister-research-fellowship/,Fellowship,Phd,Application Process ,NA ,National,
Swarna Jayanti Scholarship,"Department of Science & Technology, Government of India","The applicant must be a permanent resident of India.,The age of the applicant should be between 30 to 40 years.,The candidate should possess a Ph.D. degree in Science/ Engineering/ Medicine",Rs 25000/- per month.,https://scholarshiponline.in/swarna-jayanti-fellowship/,Fellowship,Phd,Application Process ,NA ,National,
PG scholarships for professional courses for SC/ST,University Grants Commission (UGC),"Applicant must be pursuing professional degree in subjects like Engineering & Technology, Management, Pharmacy etc. from a recognised university or Institute or college,M.A., M.Sc., M.Com., MSW and Mass Communication and Journalism degree will not consider as professional degree,Applicant must be an Indian belong to schedule caste or schedule tribe category",Rs. 7800 for M.tech and Rs. 4500 for other degrees,https://scholarshiparena.in/pg-scholarship-for-sc-st-students/,Scholarship,Post Graduate,Application Process ,NA ,National,
"Reimbursement of Tuition Fee for SC/ST/OBC/Minority, Delhi","Department for the Welfare of SC/ST/OBC, Government of Delhi","Only Delhi domiciled candidates belonging from SC/ ST/ OBC/ Minorities can apply for this scheme.,Fee Reimbursement scheme is available for students of class 1st to class 12th studying in recognized/affiliated with Dept. of Education, Govt. of National Capital Territory (NCT) of Delhi /Municipal local bodies of Delhi.,In order to apply for this scheme, students must not be the recipient of any other scholarship.,The family income of the students must not exceed INR 2 lacs. ","Candidates having a parental income of up to INR 60,000/- will get 100% reimbursement of the tuition fee.,Those having parental income above INR 60,000/- but less than INR 2 lacs will get 75% reimbursement of the tuition fee.",https://www.vidhyaa.in/scholarship/reimbursement-of-tuition-fee-for-sc-st-obc-minorities-delhi,Scholarship,below graduate,Application Process ,NA ,National,
"Financial Assistance to SC/ST/OBC/Minority, Delhi","Department for the Welfare of SC/ST/OBC, Government of Delhi","An applicant must be a resident of Delhi for the past 3 years.,This scheme is open for SC/ST/OBC and minority community candidates.,Students of class 1st to class 12th are eligible to apply.,It is necessary for the students to bear a minimum of 70% attendance last academic year.,The family annual income of the students must not exceed INR 2 lacs.","Class 1st to class 8th students will get INR 100/- per month for 10 months.,Class 9th to class 12th candidates will receive INR 200/- per month for 10 months.",https://www.vidhyaa.in/scholarship/financial-assistance-to-sc-st-obc-minority-delhi,Scholarship,below graduate,Application Process ,NA ,National,
"Financial Assistance to Educationally Backward Minority Students, Delhi","Directorate of Education, Government of NCT of Delhi","Students in standard 1 to 12th are eligible to apply, muslims and neo buddhists can only apply, applicants shoudl be delhi residents for the past 3 years, annual income must not exceed 1 lakh",300 -600 Rs. per year depending on age of the students,https://scholarships.flasheducation.co.in/financial-assistance-to-educationally-backward-minority-students-delhi/,Scholarship,below graduate,Application Process ,NA ,National,
Pre matric scholarship for ST/ST/General category/Uttar Pradesh,"Social Welfare Department, Government of Uttar Pradesh","The student should be in class 9th or 10th.,Student should be a resident of Uttar Pradesh.,A student should not have family income more than 2 lak h per year.,Any Students belongs to General, SC, ST and from any category can apply.",Rs. 720 annualy for 9th and 10th standard students,https://scholarshipdunia.com/uttar-pradesh-pre-metric-scholarship/,Scholarship,below graduate,Application Process ,NA ,National,
"Pre-Matric Scholarship for Minorities, Uttar Pradesh","Minority Department, Government of Uttar Pradesh","Must be a resident of Uttar Pradesh.,Annual income is less than INR 1,00,000.,Enrolled in school.,Have to pass class 8 exam and Enrolled in class 9 or 10.",NA,https://www.freescholarshipalerts.com/up-scholarship-for-minority-pre-matric-scholarship-for-up-minority-students/,Scholarship,below graduate,Application Process ,NA ,National,
"Pre-Matric Scholarship for OBC Students, Uttar Pradesh","Backward Class Welfare Department, Government of Uttar Pradesh","Annual income less than INR 1,00,000.,Enrolled with school.,Have to pass class 8 exam and Enrolled in class 9 or 10.",NA,https://www.freescholarshipalerts.com/up-scholarship-for-obc-pre-matric-scholarship/,Scholarship,below graduate,Application Process ,NA ,National,
"Post Matric Scholarship for OBC Students, Madhya Pradesh",Government of Madhya Pradesh,"Students belonging to OBC Community.,Be a permanent resident of state/union territory in which student belongs.,Must be in pursuing post-graduation/post-secondary course.,Family income must not exceed more than 1.50 lakh P/A. ",Variuos allowances like hostel costs,https://www.vidhyaa.in/scholarship/post-matric-scholarship-for-obc-students-madhya-pradesh,Scholarship,below graduate,Application Process , NA,National,
G. P. Birla Scholarship,G.P. Birla Education Foundation ,only applicable for meritorious students of West Bengal,"
 Tuition Fees and Hostel Fees, [where applicable], subject to a ceiling of Rs. 50,000/- per student per year.",https://www.gpbirlaedufoundation.com/,Scholarship,Graduate,"Application Process , Interview",NA ,National,
KSCSTE Kerala Sasthra Puraskaram,"Kerala State Council for Science, 
Technology & Environment Sasthra Bhavan","Be a Scientist/Technologist working anywhere in the world, but of Kerala by birth who has made a significant contribution in any branch of Science and Technology. Be an outstanding scientist, a good leader & organiser in S&T, a great institution builder in S&T, a national leader and role model in S&T and/ or a visionary in S&T."," a Memento, citation and cash award of INR 2 lakh.",https://kscste.kerala.gov.in/kerala-sasthrapuraskaram/,Scholarship,Post-doc research,Application Process ,NA,National,
FICA Emerging Artist Award ,Foundation for Indian Contemporary Art (a non-profit organisation in New Delhi in collaboration with the Mrinalini Mukherjee Foundation),"Be an Indian citizen Be between 18 and 35 years of age
 ","The award supports the 10 art practitioners through a financial grant, a mentorship programme and an exhibitory component. ",NA,Scholarship,Project,Application Process ,NA ,National,
"Post-Matric & CM Scholarship, Rajasthan","Social Justice and Empowerment Department, Government of Rajasthan","The candidates belonging to SC/ST/OBC/SBC/EBC/DNT categories can apply.,The students must be studying in class 11 or 12 in a recognised school.,The annual income of the family should not be more than INR 2,50,000 (for SC/ST/SBC candidates), INR 1,00,000 (for OBC/EBC candidates), INR 2,00,000 (for DNT candidates) and INR 5,00,000 (for students studying at a nationalised institution).",covers financial assisstance and maintenance charges during higher education,https://www.qb365.in/studymaterials/scholarship/Post-matric-cm-scholarship-rajasthan-4548,Scholarship,Graduate,"Apply online through the deparment of social justice and empowerment deparment ,Rajasthan",NA ,National,
"Dr. Ambedkar Post Matric Scholarship for EBC Students, Rajasthan","Social Justice and Empowerment Department, Government of Rajasthan","1. The scholarships will be open to Indian nationals belonging to General Category (Other than Schedule Caste, Schedule Tribe and Other Backward Classes) and the total income from all sources of the employed candidate or his/her parents/guardians in case of unemployed candidate shall not exceed Rs.1.00 lakh per annum.2. Income certificate should be submitted from the competent authority in the State/Union Territory
These scholarships will be given for the study of all recognized post-matriculation or post- secondary courses pursued in recognized institutions with the following exceptions: �Scholarships shall not be awarded for training courses like Aircraft Maintenance Engineer�s Course and Private Pilot License Courses. Courses at Training-Ship Dufferin (Now Rejendra); Courses of training at the Military College, Dehradun, Courses at pre-examination Training Centres of All India and State levels.�3. Candidates who, after passing one stage of education, are studying in the same stage of education in different subject e.g. I. Sc. after I.A or B.Com. after B.A. or M.A. in a subject after M.A in another subject will not be eligible.4. Students who, after having completed their educational career in one professional line, e.g., LLB after B.T/B. Ed will not be eligible.5. Students studying in XI Class of the Higher Secondary School courses or the XII class of the Multipurpose High School will not be eligible for it being a continuous school course. However, in cases, where tenth class examination of such courses is treated as equivalent to Matriculation and students who after passing tenth class join other courses, such students will be treated as post-matric students and will be eligible for the award of scholarships.6. Students pursuing Post-graduate courses in medicine will be eligible if they are not allowed to practice during the period of their course.
iii. Students who after failing or passing the Under Graduate/Post-Graduate examinations in Arts/science/Commerce join any recognized professional or Technical certificate/diploma/degree courses will be awarded scholarships if otherwise eligible. No subsequent failure will be condoned except courses in Group �A� and no further change in the course will be allowed.
7. Students who pursue their studies through correspondence courses will be eligible towards reimbursement of non-refundable fee. The term correspondence includes distant and continuing education. Besides reimbursement of non-refundable fee, such students will also be eligible for an annual allowance of Rs. 900/- for essential/prescribed books, as applicable.8. Only two boys of the same parents/guardian will be entitled to receive scholarships. This restriction will, however, not apply to girls. Accordingly, scholarship availed by girls of same parents/guardian will not adversely affect admissibility of availing scholarship upto two boys of same parents/guardian.9. A scholarship holder under this Scheme will not hold any other scholarship/stipend. If
awarded any other scholarship/stipend, the students can exercise his/her option for either of the two scholarships/stipends, whichever is more beneficial to him/her and should inform the awarding authority through the Head of the Institution about the option made. No scholarship will be paid to the students under this Scheme from the date he/she accepts any other scholarships/stipend. The student can however, accept free lodging or a grant or ad- hoc monetary help from the State Government or any other source for the purchase of books, equipment or for meeting the expenses on board and lodging, in addition to the scholarship amount paid under this Scheme.10. Scholarship holders who are receiving coaching in any of the pre-examination training centers with financial assistance from the Central Government/State Government will not be eligible for stipend under the coaching schemes for the duration of the coaching programme.11. Employed students whose income combined with the income of their parents/guardians does not exceed Rs. 1.00 lakh per annum shall be eligible for post-matric scholarships to the extent of reimbursement of all compulsorily payable non-refundable fees.12. In case of unemployed students whose parents/guardians income from all sources does not
exceed Rs. 1.00 lakh per annum will be entitled for the scholarship under the Scheme.",Rs. 250- Rs.750 per month,https://teachersbadi.in/dr-ambedkar-post-matric-scholarship-ebc-students/,Scholarship,below graduate,Application Process ,NA ,National,
Rajasthan Yuva Vikas Prerak Internship Program (RYVP),Government of Rajasthan,"Aspirants who are Post-Graduate or in Final year/ semester of post-Graduate course or Doctoral course in the field of Development Studies/ International Development/ Political Science/ Economics/ Statistics/ Sociology/ Public Policy/ Finance/ Management/ Engineering/ Law/ Agriculture after Graduate in the field of Engineering/ Medical/ Agriculture/ Law are eligible to apply for this internship program,Good communication/ presentation / intra-personal skills is required,Aspirants should have knowledge of MS Office including MS Word, Power Point, Excel and other similar programs.,Young Professionals/Scholars,Age of the seekers should be in between 18-35 years","Stipend of 25,000 per month + 2500 communication and convinience allowance",https://scholarshiparena.in/rajasthan-yuva-vikas-prerak-internship-program-ryvp/,Scholarship,Post Graduate,"Application Process:Scrutiny of application will be made first by PMU cell of Directorate of Economics and Statistics,Selected contenders will call for group discussion and personal interview,Selected contenders will be appointed as intern under this program",NA ,National,
"Scholarship to Son and Daughter of Differently Abled Persons, Tamil Nadu","Commissionerate for Welfare of Differently Abled, Government of Tamil Nadu",The wards of any differently-abled person holding the Identity card issued by the Welfare Board of Differently Abled can apply for this scholarship. This scholarship is available for the student who is studying in class XI to postgraduate level��,financial assisstance upto 6000,https://scholarshiponline.in/tamil-nadu-scholarship/,Scholarship,Graduate,Apply offline through concerned District Office of Differently Abled Welfare,NA ,National,
"R. I. M. C. Dehradun Scholarship, Tamil Nadu","Directorate of Collegiate Education, Government of Tamil Nadu","The students studying in Rashtriya Indian Military College, Dehradun are eligible for this scholarship.",Rs. 1000 per month,https://www.qb365.in/studymaterials/scholarship/R-i-m-c-dehradun-scholarship-tamil-nadu-9407,Scholarship,Graduate,Apply offline through the Directorate of Collegiate Education,NA ,National,
Thanthai Periyar Memorial Award - Tamil Nadu,"Department of Backward Classes and Most Backward Classes and Minority Welfare, Government of Tamil Nadu",The top two boys and two girls of each district in Tamil Nadu who have scored highest marks in class 10th and are pursuing a Polytechnic diploma can apply for this scholarship.,,https://www.qb365.in/studymaterials/scholarship/Thanthai-periyar-memorial-award-tamil-nadu-7045,Scholarship,below graduate,Application process,NA ,National,
TN Scholarships,The state government of Tamil Nadu,Candidates from class I to PhD level,"Up to INR 60,000",https://www.getmyuni.com/scholarships/tn-scholarship,Scholarship,Graduate,Application Process ,NA,National,
"Mukhyamantri Yuva Swavalamban Yojana, Gujarat","Education Department, Government of Gujarat","class 10 and class 12 passouts. The main MYSY Scholarship is offered to the economically weaker section students of Gujarat. Those students who wish to pursue higher education like diploma courses, engineering, pharmacy course, medical course etc apply for MYSY scholarships every year.","In some areas students have not been provided the facility of high education so far, For them, Rs 1200/� will be given up to 10 months.,The government will be providing a scholarship of Rs. 10 Lakh to the candidates who want their studies in the medical field.,The candidates who want to take admission in B.ED or B.SC. will be the scholarship of INR Rs. 10000 annually.",https://scholarshipdunia.com/mukhyamantri-yuva-swavalamban-yojana-in-gujarat/,Scholarship,Graduate,Application process,NA ,National,
"Scholarship to the Disabled Students, Gujarat","Department of Social Justice and Empowerment, Gujarat","A candidate must belong to the Gujarat state.,Applicant disability must be more than 40%.,Candidate must have passed his/her immediate class examination with a minimum of 40% marks.,Family annual income must not be more than INR 50,000/- per annum.,The applicant must have satisfactory attendance in the previous examination.","Class 1st to class 7th students will get INR 1000/- per annum.,Class 8th to 12th students will get INR 1500/- to INR 5000/- per annum.",https://www.vidhyaa.in/scholarship/scholarship-to-the-disabled-students,Scholarship,below graduate,Application Process ,NA ,National,
"Higher Education Scholarship,Gujurat",Government of Gujarat,Domiciles of Gujarat studying class XI or above,"Up to INR 5,000 per month",https://www.getmyuni.com/scholarships/gujarat-scholarship,Scholarship,Graduate,Application process,NA ,National,
"Swami Vivekananda Merit Cum Means Scholarship for Minorities, West Bengal",Government of West Bengal,"Candidates whose family income is not more than Rs. 2,50,000/- per annum will be judged according to their academic merit in the under noted manner.|||For HS - level:::The minimum qualifying marks for being considered for award of scholarships will be 75% in aggregate, in Madhyamik Pariksha, and the total marks obtained in the Madhyamik Parkisha excluding pass marks in the additional subject, if any, will be the sole criterion for consideration. Candidates from outside the West Bengal Board of Secondary Education will not be eligible to apply for this scholarship.|||For Diploma - level:::Students who are enrolled after passing out in Secondary (M.P) examination or its equivalent as stated above in 2016 for first year Diploma (Polytechnic) course (H.S. Examination or its equivalent for Diploma in Pharmacy or Modern Office Practice and Management of two years duration) and after passing out in �West Bengal State Council of Vocational Education and Training � courses, which is equivalent to H.S Examination for 2nd year Diploma (Polytechnic) courses on lateral entry basis, will be eligible to apply. Candidates must obtain at least 75% marks in aggregate in the qualifying examination for applying the scholarship (excluding the marks secured in the optional elective subject, if any).|||For UG - level:::The minimum qualifying marks for being considered for award of scholarships will be 75% in aggregate, in the H.S. Examination conducted by the W.B. Council of H.S. Education/Madrasha Siksha Parishad. For the UG (Arts), UG (Commerce), UG (Science) separate merit lists will be prepared.|||For PG - level::: Candidates should be graduates securing at least 53% marks in the Honours subject at the graduation level. The marks obtained in Honours subject will be the only deciding criterion academically for award of the PG-level scholarships. Kanyashree recipients (K-2) (married/unmarried) pursuing Post Graduate courses in Science, Arts and Commerce stream from Universities of this State after obtaining Under Graduate Degree with 45% marks in aggregate from Institutions of this State will come under the aegis of this Scholarship Scheme. There is no need to submit Income Certificate and Income Affidavit in respect of Kanyashree students applying for K-3 scholarship under Swami Vivekananda Merit�cum�Means Scholarship Scheme.",Rs. 1000 - 5000 per month depending on the course,https://vikaspedia.in/education/policies-and-schemes/scholarships/west-bengal-swami-vivekananda-merit-cum-mean-scholarship,Scholarship,Graduate,Application Process,NA ,National,
Central Sector Scheme of Scholarships for College and University Students,Department of Higher Education,Students who are above 80th percentile of successful candidates in the relevant stream from a particular Board of Examination in Class XII Pursuing regular course Having family income of less than Rs.6 lakh per annum Not receiving any other scholarship,"Rs. 10000/- per annum at Graduation level for first three years
of College and University courses and Rs. 20000/- per annum at Post-Graduation level.
Students pursuing professional courses are paid Rs. 20,000/- per annum in the 4th and 5th
year",NA,Scholarship,"under graduate, post graduate",Application process,NA ,National,
ISHAN UDAY�,University Grants Commission and The Ministry of HRD,"1. Students with domicile of NER who have passed Class XII or equivalent exam from a school situated within NER through any recognized Board of Education, including Central Board of Secondary Education (CBSE), Indian Certificate of Secondary Education (ICSE), National institute of open Schooling (NIOS) within NER only, and have secured admission in general degree course, technical and professional courses including medical and paramedical courses (Integrated courses included) in Universities/Colleges/Institutions recognized as under A).Universities/Institutions/Colleges included under Section 2(f) and 12 (B) of UGC Act. B).Deemed to be Universities included under Section 3 of the UGC Act, 1956 and eligible to receive grants-in-aid from UGC. C). Universities/Institutions/Colleges funded by Central / State Government. D). Institutes of National Importance. E). Institutions recognized by other Statutory councils within as well as outside 2) Only first year Under-graduate students are eligible to apply for the scholarship. 3) For integrated degree courses the scholarship will be tenable for the complete duration of the course. For dual degree courses the scholarship shall be tenable for the first degree only. The university shall clarify it while recommending a candidate for scholarship. 4) For availing scholarship under this scheme, the income of the parents of the student should not exceed Rs.4.5 lakh per annum. 5).Transgender candidates are eligible to apply under the scheme. The reservation shall be followed as per Government of India norms.","An amount of Rs.5400/- p.m. for General Degree courses and Rs. 7800/- p.m. for Technical & Professional courses (including Medical & Para medical courses) will be given through Direct Benefit Transfer (DBT) to the beneficiary student.

",https://ner.ugc.ac.in/About.aspx,Scholarship,Graduate,Application process,NA ,National,
Indira Gandhi Single Girl Child Scholarship � A UGC Scholarship Scheme for Girls,"University Grants Commission � MHRD	",Girl students pursuing PG courses Only child of their parents,"An annual scholarship allowance of INR 36,200 for a period of 2 years",https://www.buddy4study.com/article/indira-gandhi-single-girl-child-scholarship,Scholarship,Post Graduate,Application process: Apply online through the official portal of National Scholarship Portal (NSP),NA ,National,
Pragati Scholarship Scheme for Girls (Degree) for Technical Education,"Ministry of Human Resource Development � AICTE	","One Girl� per family and it can be extended for Two Girl Child per family where the family income is less than Rs. 8 Lakh /annum (In case of married girl child, the income of parents/ in laws whichever is higher is to be considered)","Amount of scholarship: Tuition Fee of Rs. 30000/- or at actual, whichever is less and Rs.2000/- per month for 10 months as incidentals each year. In case of candidates availing Tuition fee waiver/reimbursement, and amount of Rs.30000/- may be reimbursed to the candidates selected for this scheme by the way of
reimbursement for a) Purchase of books, b) Purchase of equipments, software c) Purchase of Laptops. d) Purchase of Desktops e) Purchase of Vehicle f) Fees paid towards competitive examination application forms/exam fees for all examinations related to higher education / employment.",https://www.aicte-india.org/downloads/About%20the%20Scheme_ps_16.pdf,Scholarship,diploma,"The candidates will be selected on Merit at the qualifying examination to pursue
technical education from amongst such candidates.",NA,National,
ICCR (Indian Council for Cultural Relations) Scholarships,Indian Council for Cultural Relations,"be a citizen of any nation on the earth.,be between the age of 18-30 years.,Medium of instruction is English in all of the Universities in India. Candidates ought to subsequently have good data of English to the extent that they can fluently converse in English and comprehend classes in English with none problem. To determine English proficiency of the candidates, 500-word essay in English has been launched.","logding, tution charge waiver, air fare,  residing allowances will be provided based on state",https://scholarshipcareers.com/iccr-scholarship-for-indian-culture-2022-2023/,Scholarship,Graduate,Application process,NA ,National,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
